Meal,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Breakfast,Cutlet;Sprouts;Bread/Butter; Milk/Tea,Sambar Idli;Coconut Chutney;Milk/Tea;Cornflakes,Gobi Parantha;Chutney;Cornflakes;Milk/Tea,Aloo Pori; Sprouts;Milk/Tea,Sambar;Vada;Coconut Chutney;Cornflakes;Milk/Tea,Aloo Parantha;Bread/Butter;Milk/Tea,Uttapam;Sambar;Cornflakes;Milk/Tea
Lunch,Kala Chana;Ghiya Kofta;Rice;Roti;Saladi Raita,Arhar Dal;Dum Aloo;Roti;Papad;Raita,Rajma;Aloo Methi;Rice;Roti;Papad;Salad;Kheera Raita,Kadhi;Aloo Gobhi;Roti;RicePapad;Salad,Mix Veg;Masoor Dal;Rice;RotiSprouts;Papad;Boondi Raita,Chole Bhature;Jeera Rice;Salad;Papad;Pickle;Curd,Vegetable Puloa;Dal Makhani;Aloo Beans;Kheera Raita;Roti;Salad;Papad
Snacks,Dahi Bhalla; Rasna/Tang,Macroni;Coffee,Aloo sandwich;Coffee,"Samosa,Tea",Chowmein;Coffee,Aloo Bread;Tea,Kachori;Tea
Dinner,Moong Sabut;Gobhi Matar;Rice;Roti;Macroni Salad; Suji Halwa,Masoor Dal;Mix veg;Roti;Rice;Salad;Gajar Halwa,Kadai Chichken;Kadai Paneer;Arhar Daal;Rice;Roti;Salad;Gulab Jamun,Mix Dal;Gobhi Matar; Jeera Rice;Moong Dal Halwa,Egg Curry;Palak Paneer;Moong Dal;Rice;Roti;Custard,Shimla Mirch Aloo;Giya Chana;Rice;Roti;Salad:kheer,Shahi Paneer;Veg Biryani;Chicken Biryani;Boondi Raita;Rice;Roti;Rasgulla
